openml_id,modelo,n_train,n_test,n_classes,treino_time_sec,infer_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,cv_accuracy_mean,cv_accuracy_std,best_params,best_score_cv
6332,lightgbm,378,162,2,0.04262423515319824,0.006547212600708008,0.8291614518147684,0.7777777777777778,0.6429281166719508,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7619047619047619
6332,xgboost,378,162,2,0.11007332801818848,0.003513813018798828,0.8484042553191489,0.8333333333333334,0.46947953500841144,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.753968253968254
6332,catboost,378,162,2,0.9431729316711426,0.12656021118164062,0.8659261576971213,0.8024691358024691,0.46076084681495777,,,"{'iterations': 200, 'learning_rate': 0.1}",0.7486772486772487
23381,realmlp,350,150,2,1.6746110916137695,0.0010006427764892578,0.5696040868454662,0.5333333333333333,1.0962807719054952,0.5827684448374104,0.02601303729393516,,
23381,lightgbm,350,150,2,0.020030498504638672,0.0030078887939453125,0.6193212917350848,0.6066666666666667,0.6563738622400604,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.5913891344925828
23381,xgboost,350,150,2,0.048126935958862305,0.0035102367401123047,0.5268199233716475,0.5533333333333333,0.6940050000354457,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.5943118184497495
23381,catboost,350,150,2,0.30066609382629395,0.015623807907104492,0.5904032110928662,0.6,0.6691191828815213,,,"{'iterations': 200, 'learning_rate': 0.01}",0.5914136948619707
40966,realmlp,756,324,8,2.848264694213867,0.0030570030212402344,1.0,0.9938271604938271,0.11793732878312126,0.9907407407407408,0.004949282257637521,,
40966,lightgbm,756,324,8,0.7357690334320068,0.009007692337036133,0.9997648688540457,0.9814814814814815,0.047032532841517635,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9484126984126983
40966,xgboost,756,324,8,0.9563162326812744,0.0030100345611572266,0.9994268111207898,0.9722222222222222,0.10966393628114358,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9338624338624338
40975,realmlp,1209,519,4,5.2692015171051025,0.0025060176849365234,0.999996007505889,0.9961464354527938,0.08875289723140387,0.9900744416873449,0.0060781383195612475,,
40975,lightgbm,1209,519,4,0.11602306365966797,0.005509376525878906,0.9996714747702891,0.9903660886319846,0.037701348487942384,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9760132340777501
40975,xgboost,1209,519,4,0.3036324977874756,0.003503561019897461,0.9998253759123324,0.9884393063583815,0.0430719248735827,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9627791563275435
40975,catboost,1209,519,4,0.6547276973724365,0.013267755508422852,0.9992715979672502,0.9807321772639692,0.08757513420505626,,,"{'iterations': 200, 'learning_rate': 0.1}",0.9627791563275435
40982,realmlp,1358,583,7,6.72356653213501,0.009652137756347656,0.9346132349438045,0.7890222984562607,0.8018980331763161,0.7599337748344371,0.008345324666823976,,
40982,lightgbm,1358,583,7,0.3605036735534668,0.011021137237548828,0.9724931161580211,0.8267581475128645,0.7187899768449316,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7820397611466005
40982,xgboost,1358,583,7,0.8265988826751709,0.005514860153198242,0.9681092295347979,0.8044596912521441,0.5963876224520898,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7901306921408896
40982,catboost,1358,583,7,2.6111629009246826,0.004254817962646484,0.9701223783039788,0.7993138936535163,0.5533975036902391,,,"{'iterations': 200, 'learning_rate': 0.1}",0.7724478566358658
40994,realmlp,378,162,2,1.3964874744415283,0.0015056133270263672,0.9140926640926641,0.9382716049382716,0.19598618823498884,0.9285714285714285,0.011223917161691244,,
40994,lightgbm,378,162,2,0.0425570011138916,0.0030035972595214844,0.9083011583011583,0.9382716049382716,0.41688004313386834,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9417989417989417
40994,xgboost,378,162,2,0.04105114936828613,0.0010037422180175781,0.9010617760617761,0.9506172839506173,0.20116212456567847,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9391534391534391
40994,catboost,378,162,2,0.15198230743408203,0.0020074844360351562,0.9222972972972973,0.9259259259259259,0.17353482933552966,,,"{'iterations': 100, 'learning_rate': 0.1}",0.9417989417989417
